titulo,link,precio,rating,bodega,tipo,grado,anada,variedad,origen,vista,nariz,boca,temp_servir ,maridaje,clima,suelo,envejecimiento,tipo2,variedad2,cata,fisico,cata2,fisico2,maridaje2,descripcion,Score_similitud
amanda 2022,https://bodeboca.com/vino/amanda-2022,12.9,4.0,bodegas alfredo-maestro-tejero,rosado,12.0,2022.0,100% garnacha tintorera,igp castilla y leon,olor rosa palido brillante y reflejos cobrizos,"elegante y delicado. presenta notas de fresas, frutos rojos y naranja.","amplio, de muy buena acidez. fresco y profundo. inimitable",10.0,"pasta, platos picantes, carnes rojas, carnes blancas",mediterraneo.,calizo-arcilloso.,,rosado, garnacha tintorera,"olor rosa palido brillante y reflejos cobrizos elegante y delicado. presenta notas de fresas, frutos rojos y naranja. amplio, de muy buena acidez. fresco y profundo. inimitable",mediterraneo. calizo-arcilloso.,olor rosa palido brillante reflejos cobrizos elegante delicado presenta notas fresas frutos rojos naranja amplio buena acidez fresco profundo inimitable,mediterraneo calizo arcilloso,pasta plato picantes carnes rojas carnes blancas,olor rosa palido brillante reflejos cobrizos elegante delicado presenta notas fresas frutos rojos naranja amplio buena acidez fresco profundo inimitable pasta plato picantes carnes rojas carnes blancas,0.9998445510864258
hito rosado 2022,https://bodeboca.com/vino/hito-rosado-2022-0,8.7,3.5,bodegas bodegas-cepa-21,rosado,13.0,2022.0,100% tempranillo,ribera del duero,"de color rosa palo, limpio y brillante.",fresca y expresiva. exhibe aromas de frutos rojos y sutiles notas de flores blancas que aportan complejidad.,"elegante, fresca y expresiva. muestra una marcada pero equilibrada acidez y un deje goloso.",10.0,"ideal con platos de pasta, con ensaladas, con aperitivos y con carnes rojas.","continental. la añada 2022 estuvo marcada por las escasas precipitaciones en invierno y las altas temperaturas durante la primavera y el verano, lo que provoco un rapido crecimiento vegetativo y una maduracion temprana. las lluvias previas al inicio de la vendimia ayudaron a equilibrar la composicion de la uva dando como resultado un año de gran calidad fenolica y sanitaria.","calizos, arcillosos y pedregosos.",breve crianza sobre li­as.,rosado, tempranillo,"de color rosa palo, limpio y brillante. fresca y expresiva. exhibe aromas de frutos rojos y sutiles notas de flores blancas que aportan complejidad. elegante, fresca y expresiva. muestra una marcada pero equilibrada acidez y un deje goloso.","continental. la añada 2022 estuvo marcada por las escasas precipitaciones en invierno y las altas temperaturas durante la primavera y el verano, lo que provoco un rapido crecimiento vegetativo y una maduracion temprana. las lluvias previas al inicio de la vendimia ayudaron a equilibrar la composicion de la uva dando como resultado un año de gran calidad fenolica y sanitaria. calizos, arcillosos y pedregosos.",color rosa palo limpio brillante fresca expresiva exhibe aroma frutos rojos sutiles notas flores blancas aportan complejidad elegante fresca expresiva muestra marcada equilibrada acidez deje goloso,continental añada marcada escasas precipitaciones invierno altas temperaturas primavera verano provoco rapido crecimiento vegetativo maduracion temprana lluvias previas inicio vendimia ayudaron equilibrar composicion uva dando resultado año gran calidad fenolica sanitarium calizos arcillosos pedregosos,ideal plato pasta ensaladas aperitivos carnes rojas,color rosa palo limpio brillante fresca expresiva exhibe aroma frutos rojos sutiles notas flores blancas aportan complejidad elegante fresca expresiva muestra marcada equilibrada acidez deje goloso ideal plato pasta ensaladas aperitivos carnes rojas,0.8039590120315552
gran bajoz 2019,https://bodeboca.com/vino/gran-bajoz-2019,9.9,3.5,bodegas pagos-rey,tinto,14.5,2019.0,100% tinta de toro,toro,vino de color cereza oscuro con reï¬ejos violaceos.,"en nariz sorprenden sus notas a frutas rojas y negras, conï¬tura de ciruelas y cafe.","en boca es potente, sabroso, tostado y con taninos muy pulidos.",16.0,"un vino perfecto para acompañar platos de cocina moderna, carnes asadas o entrantes potentes.",continental.,arcillo-calcareo.,finalmente el vino pasa 12 meses en barricas de roble y 3 meses en botella.,tinto, tinta de toro,"vino de color cereza oscuro con reï¬ejos violaceos. en nariz sorprenden sus notas a frutas rojas y negras, conï¬tura de ciruelas y cafe. en boca es potente, sabroso, tostado y con taninos muy pulidos.",continental. arcillo-calcareo.,vino color cereza oscuro re ejos violaceos nariz sorprenden notas frutas rojas negras tura ciruelas cafe boca potente sabroso tostado taninos pulidos,continental arcillo calcareo,vino perfecto acompañar plato cocina moderna carnes asadas entrantes potentes,vino color cereza oscuro re ejos violaceos nariz sorprenden notas frutas rojas negras tura ciruelas cafe boca potente sabroso tostado taninos pulidos vino perfecto acompañar plato cocina moderna carnes asadas entrantes potentes,0.8032243251800537
ademan carabizal 2022,https://bodeboca.com/vino/ademan-carabizal-2022,8.5,,bodegas bodegas-y-vinedos-maires,tinto,14.5,2022.0,100% tinta de toro,toro,color purpura-violaceo.,aromas de frutos rojos y silvestres ligados con tonos dulces y especiados junto con notas tostadas.,"amplia y fresca, con equilibrio perfecto entre la fruta y la madera. posgusto muy goloso.",14.0,perfecto con carnes rojas y embutidos. tambien con platos de pasta e incluso pescado blanco.,continental.,predominantemente arenoso.,envejecido durante 4 meses en barricas francesas de tostado medio.,tinto, tinta de toro,"color purpura-violaceo. aromas de frutos rojos y silvestres ligados con tonos dulces y especiados junto con notas tostadas. amplia y fresca, con equilibrio perfecto entre la fruta y la madera. posgusto muy goloso.",continental. predominantemente arenoso.,color purpura violaceo aroma frutos rojos silvestres ligados tonos dulces especiados junto notas tostada amplia fresca equilibrio perfecto fruta madera posgusto goloso,continental predominantemente arenoso,perfecto carnes rojas embutidos tambien plato pasta incluso pescado blanco,color purpura violaceo aroma frutos rojos silvestres ligados tonos dulces especiados junto notas tostada amplia fresca equilibrio perfecto fruta madera posgusto goloso perfecto carnes rojas embutidos tambien plato pasta incluso pescado blanco,0.8025807738304138
pago de otazu tinto 2021,https://bodeboca.com/vino/pago-otazu-tinto-2021,19.5,4.0,bodegas otazu,tinto,15.0,2021.0,"62% merlot, 38% cabernet sauvignon",pago de otazu,"rojo cereza picota, capa alta, muy brillante.","complejo dominado por fruta roja y negra, como grosellas y zarzamoras, que abre paso a notas tostadas y especiadas muy elegantes.","de entrada suave y recorrido aterciopelado y complejo. fresco, equilibrado y persistente.",16.0,"pates y quesos, platos de caza menor: faisan y perdiz, y carnes a la barbacoa y cochinillo.",continental.,arcillo-calcareo.,18 meses en barrica de roble frances.,tinto," merlot,  cabernet sauvignon","rojo cereza picota, capa alta, muy brillante. complejo dominado por fruta roja y negra, como grosellas y zarzamoras, que abre paso a notas tostadas y especiadas muy elegantes. de entrada suave y recorrido aterciopelado y complejo. fresco, equilibrado y persistente.",continental. arcillo-calcareo.,rojo cereza picota capa alta brillante complejo dominado fruta roja negra grosellas zarzamoras abre paso notas tostada especiadas elegantes entrada suave recorrido aterciopelado complejo fresco equilibrado persistente,continental arcillo calcareo,pate quesos plato caza menor faisan perdiz carnes barbacoa cochinillo,rojo cereza picota capa alta brillante complejo dominado fruta roja negra grosellas zarzamoras abre paso notas tostada especiadas elegantes entrada suave recorrido aterciopelado complejo fresco equilibrado persistente pate quesos plato caza menor faisan perdiz carnes barbacoa cochinillo,0.8021098375320435
valduero finca azaya premium 2016,https://bodeboca.com/vino/valduero-finca-azaya-premium-2016,27.5,4.3,bodegas valduero,tinto,14.0,2016.0,100% tempranillo,igp castilla y leon,"de color morado profundo, casi negro.","concentrada y muy aromatica, con profundas notas de cafe, tostados y fruta madura.","es un vino estructurado, con cuerpo pero muy sedoso. redondo, elegante, jugoso y muy bien equilibrado.",16.0,"perfecto para acompañar carnes, guisos, platos sofisticados con salsas fuertes, caza, quesos curados e incluso postres con chocolate o mermelada de frutas rojas.","las temperaturas en invierno pueden bajar hasta los -19 ºc, mientras que en verano llegan incluso a alcanzar los 40 ºc. la media de lluvias anuales se situa en los 400 mililitros.",guijarro arenoso.,crianza de 22 meses en barricas de roble de dos ori­genes distintos. afinamiento en botella de 24 meses.,tinto, tempranillo,"de color morado profundo, casi negro. concentrada y muy aromatica, con profundas notas de cafe, tostados y fruta madura. es un vino estructurado, con cuerpo pero muy sedoso. redondo, elegante, jugoso y muy bien equilibrado.","las temperaturas en invierno pueden bajar hasta los -19 ºc, mientras que en verano llegan incluso a alcanzar los 40 ºc. la media de lluvias anuales se situa en los 400 mililitros. guijarro arenoso.",color morado profundo casi negro concentrada aromatica profundas notas cafe tostados fruta madura vino estructurado cuerpo sedoso redondo elegante jugoso bien equilibrado,temperaturas invierno pueden bajar c mientras verano llegan incluso alcanzar c medium lluvias anuales situa mililitros guijarro arenoso,perfecto acompañar carnes guisos plato sofisticados salsa fuertes caza quesos curados incluso postres chocolate mermelada frutas rojas,color morado profundo casi negro concentrada aromatica profundas notas cafe tostados fruta madura vino estructurado cuerpo sedoso redondo elegante jugoso bien equilibrado perfecto acompañar carnes guisos plato sofisticados salsa fuertes caza quesos curados incluso postres chocolate mermelada frutas rojas,0.8009182810783386
vivanco crianza 2020,https://bodeboca.com/vino/vivanco-crianza-2020,9.25,4.0,bodegas bodegas-vivanco,tinto crianza,13.5,2020.0,"95% tempranillo, 2% maturana tinta, 3% graciano",rioja,de color rojo brillante con ligeros ribetes puìrpuras.,"exhibe aromas frescos e intensos de frutos rojos, de especias y de regaliz, acompañado de elegantes notas tostadas y ahumadas.","fresca, elegante, persistente y muy equilibrada.",16.0,"ideal con todo tipo de tapas, platos de la cocina mediterraìnea, arroces, legumbres, pasta y carnes blancas y rojas.",privilegiado con influencia atlantica y mediterranea.,arcillo-ferroso.,"crianza de 16 meses en barricas de roble frances (60%) y americano (40%), con trasiegos periodicos.",tinto," tempranillo,  maturana tinta,  graciano","de color rojo brillante con ligeros ribetes puìrpuras. exhibe aromas frescos e intensos de frutos rojos, de especias y de regaliz, acompañado de elegantes notas tostadas y ahumadas. fresca, elegante, persistente y muy equilibrada.",privilegiado con influencia atlantica y mediterranea. arcillo-ferroso.,color rojo brillante ligeros ribetes pu rpuras exhibe aromas fresco intensos frutos rojos especias regaliz acompañado elegantes notas tostada ahumadas fresca elegante persistente equilibrada,privilegiado influencia atlantica mediterranea arcillo ferroso,ideal tipo tapa plato cocina mediterra nea arroces legumbres pasta carnes blancas rojas,color rojo brillante ligeros ribetes pu rpuras exhibe aromas fresco intensos frutos rojos especias regaliz acompañado elegantes notas tostada ahumadas fresca elegante persistente equilibrada ideal tipo tapa plato cocina mediterra nea arroces legumbres pasta carnes blancas rojas,0.8006817698478699
casa castillo la tendida 2021,https://bodeboca.com/vino/casa-castillo-la-tendida-2021,14.9,3.7,bodegas casa-castillo,tinto,14.5,2021.0,"85% monastrell, 15% garnacha",jumilla,color cereza intenso con el borde violaceo.,"muy aromatico y expresivo con notas florales poco habituales en los vinos de monastrell. fruta madura, hierbas secas, fruta roja, toques especiados.","elegante, equilibrado, fresco. un paladar refinado y con gran longitud. retronasal afrutado. fruta madura, algo especiado, taninos maduros y un toque mineral.",16.0,"arroces camperos, carnes blancas y platos de pasta.",mediterraneo continental.,franco-arenosos cubiertos de gravas calcareas.,crianza de 14 meses en fudres de 5000 litros y fudres pequeños de 500 litros.,tinto," monastrell,  garnacha","color cereza intenso con el borde violaceo. muy aromatico y expresivo con notas florales poco habituales en los vinos de monastrell. fruta madura, hierbas secas, fruta roja, toques especiados. elegante, equilibrado, fresco. un paladar refinado y con gran longitud. retronasal afrutado. fruta madura, algo especiado, taninos maduros y un toque mineral.",mediterraneo continental. franco-arenosos cubiertos de gravas calcareas.,color cereza intenso borde violaceo aromatico expresivo notas florales habituales vino monastrell fruta madura hierbas secas fruta roja toque especiados elegante equilibrado fresco paladar refinado gran longitud retronasal afrutado fruta madura especiado taninos maduros toque mineral,mediterraneo continental franco arenosos cubiertos gravas calcareas,arroces camperos carnes blancas plato pasta,color cereza intenso borde violaceo aromatico expresivo notas florales habituales vino monastrell fruta madura hierbas secas fruta roja toque especiados elegante equilibrado fresco paladar refinado gran longitud retronasal afrutado fruta madura especiado taninos maduros toque mineral arroces camperos carnes blancas plato pasta,0.799081563949585
cuevas de arom as ladieras 2021,https://bodeboca.com/vino/cuevas-arom-ladieras-2021,23.5,3.5,bodegas cuevas-arom,tinto,14.0,2021.0,100% garnacha,campo de borja,"rojo azulado, ligero.","grosella roja, fresas acidas, lavanda y tomillo con fondo de pedernal y naranja sanguina.",fresca y fina. exhibe unos taninos equilibrados y deliciosos sabores de moras y otras frutas frescas junto a toques de clavo y de pimienta negra.,16.0,"ideal con platos de caza menor, con quesos suaves y con pastas.","continental, con fuertes oscilaciones termicas.",calizos profundos y arcillosos.,crianza de entre 10 y 12 meses en los mismos recipientes en los que completa la malolactica.,tinto, garnacha,"rojo azulado, ligero. grosella roja, fresas acidas, lavanda y tomillo con fondo de pedernal y naranja sanguina. fresca y fina. exhibe unos taninos equilibrados y deliciosos sabores de moras y otras frutas frescas junto a toques de clavo y de pimienta negra.","continental, con fuertes oscilaciones termicas. calizos profundos y arcillosos.",rojo azulado ligero grosella roja fresas acidas lavanda tomillo fondo pedernal naranja sanguina fresca fina exhibe taninos equilibrados deliciosos sabores moras frutas frescas junto toque clavo pimienta negra,continental fuertes oscilaciones termicas calizos profundos arcillosos,ideal plato caza menor quesos suaves pasta,rojo azulado ligero grosella roja fresas acidas lavanda tomillo fondo pedernal naranja sanguina fresca fina exhibe taninos equilibrados deliciosos sabores moras frutas frescas junto toque clavo pimienta negra ideal plato caza menor quesos suaves pasta,0.7978324294090271
el figura 2021,https://bodeboca.com/vino/el-figura-2021,6.9,3.2,bodegas siete-pasos,tinto,14.0,2021.0,"tempranillo, garnacha",rioja,limpio y brillante. color rojo picota con ribete violaceo muy juvenil.,fruta roja / fresco,"vino fresco, afrutado e intenso, con un tanino jovial.",16.0,"tapas, pasta, arroz con verduras, carnes blancas y pescados azules.",continental.,arcillo-calcareo.,,tinto,"tempranillo, garnacha","limpio y brillante. color rojo picota con ribete violaceo muy juvenil. fruta roja / fresco vino fresco, afrutado e intenso, con un tanino jovial.",continental. arcillo-calcareo.,limpio brillante color rojo picota ribete violaceo juvenil fruta roja fresco vino fresco afrutado intenso tanino jovial,continental arcillo calcareo,tapa pasta arroz verduras carnes blancas pescados azules,limpio brillante color rojo picota ribete violaceo juvenil fruta roja fresco vino fresco afrutado intenso tanino jovial tapa pasta arroz verduras carnes blancas pescados azules,0.7972871661186218
di­az bayo 8 meses 2022,https://bodeboca.com/vino/diaz-bayo-8-meses-2022,8.9,3.8,bodegas nuestro-diaz-bayo,tinto joven,14.0,2022.0,100% tempranillo,ribera del duero,rojo intenso con destellos violaceos. intenso y brillante.,"nariz intensa de frutas rojas (cereza, fresa) y hierbas aromaticas, con un ligero toque tostado.",amplio y con buena estructura y un predomino de la fruta sobre las notas de crianza.,16.0,"carnes blancas, pastas, ensaladas, tapas y quesos frescos.",continental.,"arcillo-calcareo, calizo.",crianza de 8 meses en barricas de roble frances y americano.,tinto, tempranillo,"rojo intenso con destellos violaceos. intenso y brillante. nariz intensa de frutas rojas (cereza, fresa) y hierbas aromaticas, con un ligero toque tostado. amplio y con buena estructura y un predomino de la fruta sobre las notas de crianza.","continental. arcillo-calcareo, calizo.",rojo intenso destellos violaceos intenso brillante nariz intensa frutas rojas cereza fresa hierbas aromaticas ligero toque tostado amplio buena estructura predomino fruta notas crianza,continental arcillo calcareo calizo,carnes blancas pasta ensaladas tapas quesos fresco,rojo intenso destellos violaceos intenso brillante nariz intensa frutas rojas cereza fresa hierbas aromaticas ligero toque tostado amplio buena estructura predomino fruta notas crianza carnes blancas pasta ensaladas tapas quesos fresco,0.7947593927383423
dehesa gago 2019,https://bodeboca.com/vino/dehesa-gago-2019,9.9,4.2,bodegas compania-de-vinos-telmo-rodriguez,tinto joven,14.0,2019.0,100% tinta de toro,toro,"color rojo picota, con reflejos violaceos, limpio y brillante","nariz con buena intensidad de fruta negra con notas especiadas, violetas y regaliz","concentrado con buen peso frutal, frutas en confitura junto a tonos especiados, tanino bien fundido y final largo.",16.0,"carnes blancas, pastas, ensaladas, tapas y quesos frescos.",continental.,"suelo sobre sedimento de areniscas del terciario que alternan con terrazas de cascajo del cuaternario. en general, de textura franco-arenosa y pobres en materia orgaìnica.",6 meses en depositos de acero inoxidable.,tinto, tinta de toro,"color rojo picota, con reflejos violaceos, limpio y brillante nariz con buena intensidad de fruta negra con notas especiadas, violetas y regaliz concentrado con buen peso frutal, frutas en confitura junto a tonos especiados, tanino bien fundido y final largo.","continental. suelo sobre sedimento de areniscas del terciario que alternan con terrazas de cascajo del cuaternario. en general, de textura franco-arenosa y pobres en materia orgaìnica.",color rojo picota reflejos violaceos limpio brillante nariz buena intensidad fruta negra notas especiadas violetas regaliz concentrado buen peso frutal frutas confitura junto tonos especiados tanino bien fundido final largo,continental suelo sedimento areniscas terciario alternan terrazas cascajo cuaternario general textura franco arenosa pobres materia orga nica,carnes blancas pasta ensaladas tapas quesos fresco,color rojo picota reflejos violaceos limpio brillante nariz buena intensidad fruta negra notas especiadas violetas regaliz concentrado buen peso frutal frutas confitura junto tonos especiados tanino bien fundido final largo carnes blancas pasta ensaladas tapas quesos fresco,0.7946421504020691
rambla de ulea 2020,https://bodeboca.com/vino/rambla-ulea-2020,5.9,3.5,bodegas tercia-ulea,tinto,14.5,2020.0,100% monastrell,bullas,color rojo granate con tonalidades violetas.,frutal con aromas a ciruela y moras.,sabrosa con textura aterciopelada.,16.0,"se puede disfrutar maridandolo con queso de cabra, potajes o platos de cuchara, carnes blancas o un buen cordero al horno.","mediterraneo. inviernos fri­os, veranos muy calurosos, pluviometri­a baja.",calizos.,,tinto, monastrell,color rojo granate con tonalidades violetas. frutal con aromas a ciruela y moras. sabrosa con textura aterciopelada.,"mediterraneo. inviernos fri­os, veranos muy calurosos, pluviometri­a baja. calizos.",color rojo granate tonalidades violetas frutal aroma ciruela moras sabrosa textura aterciopelada,mediterraneo inviernos fri veranos calurosos pluviometri baja calizos,puede disfrutar maridandolo queso cabra potajes plato cuchara carnes blancas buen cordero horno,color rojo granate tonalidades violetas frutal aroma ciruela moras sabrosa textura aterciopelada puede disfrutar maridandolo queso cabra potajes plato cuchara carnes blancas buen cordero horno,0.7906696796417236
el hombre bala 2020,https://bodeboca.com/vino/el-hombre-bala-2020,26.9,4.5,productores uvas-felices,tinto,14.5,2020.0,"98% garnacha, 2% cariñena",vinos de madrid,hermoso color rubi­ brillante de intensidad media y reflejos rojizos.,"complejo, con jugosa fruta roja y de bosque, un punto floral de violetas, notas balsamicas refrescantes y unos ligeros recuerdos dulces de vainilla, caramelo y crema pastelera.",entrada intensa y muy refrescante con una buena acidez y unos puntos de hierba fresca. los taninos deslizan el vino por todo el paladar. intenso y con un final muy aromatico de fruta roja.,16.0,"carnes a la plancha, cochinillo al horno, lasaña y cualquier tipo de pasta con carne.",continental.,"pobres, grani­ticos con textura arenosa muy bajos en materia organica y con alto contenido de cuarzo y si­lice.",crianza de 14 meses en tinas y barricas de roble frances.,tinto," garnacha,  cariñena","hermoso color rubi­ brillante de intensidad media y reflejos rojizos. complejo, con jugosa fruta roja y de bosque, un punto floral de violetas, notas balsamicas refrescantes y unos ligeros recuerdos dulces de vainilla, caramelo y crema pastelera. entrada intensa y muy refrescante con una buena acidez y unos puntos de hierba fresca. los taninos deslizan el vino por todo el paladar. intenso y con un final muy aromatico de fruta roja.","continental. pobres, grani­ticos con textura arenosa muy bajos en materia organica y con alto contenido de cuarzo y si­lice.",hermoso color rubi brillante intensidad medium reflejos rojizos complejo jugosa fruta roja bosque punto floral violetas notas balsamicas refrescantes ligeros recuerdos dulces vainilla caramelo crema pastelera entrada intensa refrescante buena acidez puntos hierba fresca taninos deslizan vino paladar intenso final aromatico fruta roja,continental pobres grani ticos textura arenosa bajos materia organica alto contenido cuarzo si louse,carnes plancha cochinillo horno lasaña cualquier tipo pasta carne,hermoso color rubi brillante intensidad medium reflejos rojizos complejo jugosa fruta roja bosque punto floral violetas notas balsamicas refrescantes ligeros recuerdos dulces vainilla caramelo crema pastelera entrada intensa refrescante buena acidez puntos hierba fresca taninos deslizan vino paladar intenso final aromatico fruta roja carnes plancha cochinillo horno lasaña cualquier tipo pasta carne,0.7903833389282227
ramon bilbao li­mite sur 2018,https://bodeboca.com/vino/ramon-bilbao-limite-sur-2018,23.5,3.5,bodegas ramon-bilbao,tinto,14.4,2018.0,100% garnacha,rioja,color rubi­ limpio y brillante.,"intenso y complejo, con notas de fruta roja, fresca, flores, pimienta rosa y notas de monte bajo.","fresco, con buena acidez y tanino amable. un vino en armoni­a, equilibrado y con largo recorrido.",16.0,"perfecto para acompañar con carnes rojas, quesos curados, arroces de carne y caza de pluma.",clima continental-atlantico. añada de perfil atlantico caracterizada por un invierno severo y lluvioso.,"glacis, gravas, arenas y limos.","crianza en anforas, barricas de 600 litros y hormigon; con un ensamblado en barrica francesa durante 10 meses.",tinto, garnacha,"color rubi­ limpio y brillante. intenso y complejo, con notas de fruta roja, fresca, flores, pimienta rosa y notas de monte bajo. fresco, con buena acidez y tanino amable. un vino en armoni­a, equilibrado y con largo recorrido.","clima continental-atlantico. añada de perfil atlantico caracterizada por un invierno severo y lluvioso. glacis, gravas, arenas y limos.",color rubi limpio brillante intenso complejo notas fruta roja fresca flores pimienta rosa notas monte bajo fresco buena acidez tanino amable vino armoni equilibrado largo recorrido,clima continental atlantico añada perfil atlantico caracterizada invierno severo lluvioso glacis gravas arena limo,perfecto acompañar carnes rojas quesos curados arroces carne caza pluma,color rubi limpio brillante intenso complejo notas fruta roja fresca flores pimienta rosa notas monte bajo fresco buena acidez tanino amable vino armoni equilibrado largo recorrido perfecto acompañar carnes rojas quesos curados arroces carne caza pluma,0.7896320223808289
